,round,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_ppg,B_ppg,A_gpg,B_gpg,A_cpg,B_cpg,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
0,1,Norwich,Liverpool,1,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1,1,Man City,West Ham,5,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2,1,Brighton,Watford,3,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3,1,Southampton,Burnley,0,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
4,1,Sheffield United,Bournemouth,1,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
5,1,Everton,Crystal Palace,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
6,1,Aston Villa,Tottenham,1,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
7,1,Wolves,Leicester,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
8,1,Arsenal,Newcastle United,1,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
9,1,Chelsea,Man Utd,0,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
10,2,Burnley,Arsenal,1,2,,,,,3.0,3.0,3.0,1.0,0.0,0.0,,,,,,,,
11,2,Liverpool,Southampton,2,1,,,,,3.0,0.0,4.0,0.0,1.0,3.0,,,,,,,,
12,2,Bournemouth,Aston Villa,2,1,,,,,1.0,0.0,1.0,1.0,1.0,3.0,,,,,,,,
13,2,Watford,Everton,0,1,,,,,0.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,
14,2,West Ham,Brighton,1,1,,,,,0.0,3.0,0.0,3.0,5.0,0.0,,,,,,,,
15,2,Newcastle United,Norwich,1,3,,,,,0.0,0.0,0.0,1.0,1.0,4.0,,,,,,,,
16,2,Tottenham,Man City,2,2,,,,,3.0,3.0,3.0,5.0,1.0,0.0,,,,,,,,
17,2,Crystal Palace,Sheffield United,0,1,,,,,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,
18,2,Leicester,Chelsea,1,1,,,,,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,
19,2,Man Utd,Wolves,1,1,,,,,3.0,1.0,4.0,0.0,0.0,0.0,,,,,,,,
20,3,Everton,Aston Villa,0,2,1.37255,0.579733,1.4288230000000002,1.33531,2.0,0.0,0.5,1.0,0.0,2.5,8.0,5.5,5.5,12.5,5.0,11.0,16.5,7.0
21,3,Chelsea,Norwich,3,2,2.100035,1.1232199999999999,1.062765,2.050425,0.5,1.5,0.5,2.0,2.5,2.5,8.0,5.0,5.0,12.0,13.5,9.0,15.0,10.0
22,3,Southampton,Brighton,2,0,1.423783,0.929373,1.4506355,2.193065,0.0,2.0,0.5,2.0,2.5,0.5,6.0,6.5,9.5,11.0,8.0,15.0,11.0,10.5
23,3,Crystal Palace,Man Utd,2,1,1.0454665,2.069585,1.269575,0.7233045,0.5,2.0,0.0,2.5,0.5,0.5,7.5,10.0,6.0,4.0,12.0,9.5,7.5,10.5
24,3,West Ham,Watford,3,1,2.8321250000000004,1.7001399999999998,1.7304399999999998,2.249495,0.5,0.0,0.5,0.0,3.0,2.0,11.0,13.0,12.5,6.0,9.5,10.5,8.5,15.5
25,3,Leicester,Sheffield United,2,1,1.4712695,0.8504039999999999,0.604522,1.5053345,1.0,2.0,0.5,1.0,0.5,0.5,9.5,4.5,5.5,6.5,7.0,15.5,10.5,11.0
26,3,Arsenal,Liverpool,1,3,1.455316,1.99439,2.3716749999999998,0.801466,3.0,3.0,1.5,3.0,0.5,1.0,9.5,10.0,7.5,3.5,17.0,7.5,10.5,22.0
27,3,Man City,Bournemouth,3,1,2.71837,1.224088,1.3772425,2.68311,2.0,2.0,3.5,1.5,1.0,1.0,16.5,5.0,5.0,13.5,8.0,16.0,21.5,5.5
28,3,Burnley,Wolves,1,1,0.9225050000000001,1.664825,1.26425,1.3580200000000002,1.5,1.0,2.0,0.5,1.0,0.5,2.0,4.5,7.5,4.0,15.0,15.5,8.5,9.5
29,3,Newcastle United,Tottenham,1,0,0.777795,1.607205,1.183035,1.2196850000000001,0.0,2.0,0.5,2.5,2.0,1.5,3.5,7.0,7.0,8.5,25.5,8.0,8.0,19.0
