,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_tot_points,B_tot_points,A_tot_goal,B_tot_goal,A_tot_con,B_tot_con
20,Everton,Aston Villa,0,2,1.37255,0.579733,1.4288230000000002,1.33531,2.0,0.0,0.5,1.0,0.0,2.5
21,Chelsea,Norwich,3,2,2.100035,1.1232199999999999,1.062765,2.050425,0.5,1.5,0.5,2.0,2.5,2.5
22,Southampton,Brighton,2,0,1.423783,0.929373,1.4506355,2.193065,0.0,2.0,0.5,2.0,2.5,0.5
23,Crystal Palace,Man Utd,2,1,1.0454665,2.069585,1.269575,0.7233045,0.5,2.0,0.0,2.5,0.5,0.5
24,West Ham,Watford,3,1,2.8321250000000004,1.7001399999999998,1.7304399999999998,2.249495,0.5,0.0,0.5,0.0,3.0,2.0
25,Leicester,Sheffield United,2,1,1.4712695,0.8504039999999999,0.604522,1.5053345,1.0,2.0,0.5,1.0,0.5,0.5
26,Arsenal,Liverpool,1,3,1.455316,1.99439,2.3716749999999998,0.801466,3.0,3.0,1.5,3.0,0.5,1.0
27,Man City,Bournemouth,3,1,2.71837,1.224088,1.3772425,2.68311,2.0,2.0,3.5,1.5,1.0,1.0
28,Burnley,Wolves,1,1,0.9225050000000001,1.664825,1.26425,1.3580200000000002,1.5,1.0,2.0,0.5,1.0,0.5
29,Newcastle United,Tottenham,1,0,0.777795,1.607205,1.183035,1.2196850000000001,0.0,2.0,0.5,2.5,2.0,1.5
30,Man Utd,Southampton,1,1,1.58789875,1.48754975,0.616455375,1.6330663749999998,1.3333333333333333,1.0,2.0,1.0,1.0,1.6666666666666667
31,Watford,Newcastle United,1,1,1.495937,0.802062,2.7318637499999996,1.6096412500000001,0.0,1.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333
32,Bournemouth,Leicester,1,3,1.122991,1.363897625,2.1518474999999997,0.899197,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666
33,Brighton,Man City,0,4,1.1729444999999998,3.5003499999999996,1.48524225,1.081073875,1.3333333333333333,2.3333333333333335,1.3333333333333333,3.3333333333333335,1.0,1.0
34,Sheffield United,Chelsea,2,2,1.07131125,2.17675625,1.662031125,1.15821875,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.0,2.3333333333333335
35,Norwich,West Ham,0,2,1.208337,1.5219335000000003,2.2486187500000003,1.39528,1.0,1.3333333333333333,2.0,1.3333333333333333,2.6666666666666665,2.3333333333333335
36,Aston Villa,Crystal Palace,0,1,1.00093825,1.005376625,1.45415475,1.09456875,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666
37,Liverpool,Burnley,3,0,1.78945,1.06866725,0.73578475,1.2379245,3.0,1.3333333333333333,3.0,1.6666666666666667,1.0,1.0
