,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
20,Everton,Aston Villa,0,2,1.37255,0.579733,1.4288230000000002,1.33531,8.0,5.5,5.5,12.5,5.0,11.0,16.5,7.0
21,Chelsea,Norwich,3,2,2.100035,1.1232199999999999,1.062765,2.050425,8.0,5.0,5.0,12.0,13.5,9.0,15.0,10.0
22,Southampton,Brighton,2,0,1.423783,0.929373,1.4506355,2.193065,6.0,6.5,9.5,11.0,8.0,15.0,11.0,10.5
23,Crystal Palace,Man Utd,2,1,1.0454665,2.069585,1.269575,0.7233045,7.5,10.0,6.0,4.0,12.0,9.5,7.5,10.5
24,West Ham,Watford,3,1,2.8321250000000004,1.7001399999999998,1.7304399999999998,2.249495,11.0,13.0,12.5,6.0,9.5,10.5,8.5,15.5
25,Leicester,Sheffield United,2,1,1.4712695,0.8504039999999999,0.604522,1.5053345,9.5,4.5,5.5,6.5,7.0,15.5,10.5,11.0
26,Arsenal,Liverpool,1,3,1.455316,1.99439,2.3716749999999998,0.801466,9.5,10.0,7.5,3.5,17.0,7.5,10.5,22.0
27,Man City,Bournemouth,3,1,2.71837,1.224088,1.3772425,2.68311,16.5,5.0,5.0,13.5,8.0,16.0,21.5,5.5
28,Burnley,Wolves,1,1,0.9225050000000001,1.664825,1.26425,1.3580200000000002,2.0,4.5,7.5,4.0,15.0,15.5,8.5,9.5
29,Newcastle United,Tottenham,1,0,0.777795,1.607205,1.183035,1.2196850000000001,3.5,7.0,7.0,8.5,25.5,8.0,8.0,19.0
30,Man Utd,Southampton,1,1,1.58789875,1.48754975,0.616455375,1.6330663749999998,8.0,6.25,4.5,8.125,12.125,7.5,8.625,13.25
31,Watford,Newcastle United,1,1,1.495937,0.802062,2.7318637499999996,1.6096412500000001,8.0,3.375,7.0,9.5,16.625,26.875,16.625,8.0
32,Bournemouth,Leicester,1,3,1.122991,1.363897625,2.1518474999999997,0.899197,4.25,7.625,9.625,6.375,13.75,6.75,5.125,8.625
33,Brighton,Man City,0,4,1.1729444999999998,3.5003499999999996,1.48524225,1.081073875,8.125,14.875,8.75,4.75,11.25,9.25,13.875,23.875
34,Sheffield United,Chelsea,2,2,1.07131125,2.17675625,1.662031125,1.15821875,4.875,5.75,6.625,5.0,15.125,11.375,10.5,13.75
35,Norwich,West Ham,0,2,1.208337,1.5219335000000003,2.2486187500000003,1.39528,6.25,9.0,11.25,6.625,12.25,10.125,8.75,10.625
36,Aston Villa,Crystal Palace,0,1,1.00093825,1.005376625,1.45415475,1.09456875,5.625,7.875,11.625,6.0,10.0,12.75,8.75,8.625
37,Liverpool,Burnley,3,0,1.78945,1.06866725,0.73578475,1.2379245,11.25,3.25,3.125,10.125,6.625,13.5,22.5,7.875
38,Wolves,Everton,2,3,1.7289637500000001,1.4069475,1.72480175,1.3384935000000002,4.875,7.5,5.0,3.875,15.125,5.0,8.625,15.375
39,Tottenham,Arsenal,2,2,1.48728375,1.729664,1.2524045,2.21859125,7.5,10.125,8.125,8.375,7.75,13.25,13.0,10.625
40,Newcastle United,Liverpool,1,3,0.6122383333333333,2.2443566666666666,1.6224983750000002,0.7216607416666667,2.8125,11.375,9.916666666666666,3.4375,29.729166666666668,7.520833333333334,6.5,21.583333333333336
41,Crystal Palace,Tottenham,0,4,1.2476855208333335,1.191643791666667,1.1862004583333334,1.34994375,7.395833333333333,7.083333333333333,7.0,8.104166666666666,14.458333333333332,12.125,9.520833333333332,12.0
42,Leicester,Man Utd,0,1,1.0840698041666665,1.3564396250000001,1.2906771666666665,0.7778244791666666,7.520833333333334,6.166666666666666,6.3125,4.083333333333333,6.958333333333334,9.770833333333334,12.520833333333332,12.520833333333332
