,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA
20,Everton,Aston Villa,0,2,1.37255,0.579733,1.4288230000000002,1.33531
21,Chelsea,Norwich,3,2,2.100035,1.1232199999999999,1.062765,2.050425
22,Southampton,Brighton,2,0,1.423783,0.929373,1.4506355,2.193065
23,Crystal Palace,Man Utd,2,1,1.0454665,2.069585,1.269575,0.7233045
24,West Ham,Watford,3,1,2.8321250000000004,1.7001399999999998,1.7304399999999998,2.249495
25,Leicester,Sheffield United,2,1,1.4712695,0.8504039999999999,0.604522,1.5053345
26,Arsenal,Liverpool,1,3,1.455316,1.99439,2.3716749999999998,0.801466
27,Man City,Bournemouth,3,1,2.71837,1.224088,1.3772425,2.68311
28,Burnley,Wolves,1,1,0.9225050000000001,1.664825,1.26425,1.3580200000000002
29,Newcastle United,Tottenham,1,0,0.777795,1.607205,1.183035,1.2196850000000001
30,Man Utd,Southampton,1,1,1.58789875,1.48754975,0.616455375,1.6330663749999998
31,Watford,Newcastle United,1,1,1.495937,0.802062,2.7318637499999996,1.6096412500000001
32,Bournemouth,Leicester,1,3,1.122991,1.363897625,2.1518474999999997,0.899197
33,Brighton,Man City,0,4,1.1729444999999998,3.5003499999999996,1.48524225,1.081073875
34,Sheffield United,Chelsea,2,2,1.07131125,2.17675625,1.662031125,1.15821875
35,Norwich,West Ham,0,2,1.208337,1.5219335000000003,2.2486187500000003,1.39528
36,Aston Villa,Crystal Palace,0,1,1.00093825,1.005376625,1.45415475,1.09456875
37,Liverpool,Burnley,3,0,1.78945,1.06866725,0.73578475,1.2379245
38,Wolves,Everton,2,3,1.7289637500000001,1.4069475,1.72480175,1.3384935000000002
39,Tottenham,Arsenal,2,2,1.48728375,1.729664,1.2524045,2.21859125
40,Newcastle United,Liverpool,1,3,0.6122383333333333,2.2443566666666666,1.6224983750000002,0.7216607416666667
41,Crystal Palace,Tottenham,0,4,1.2476855208333335,1.191643791666667,1.1862004583333334,1.34994375
42,Leicester,Man Utd,0,1,1.0840698041666665,1.3564396250000001,1.2906771666666665,0.7778244791666666
43,Chelsea,Wolves,5,2,2.499071875,1.499163125,1.1052177916666666,1.636763125
44,Burnley,Brighton,1,1,1.1590080416666668,1.3700200833333334,1.2017580833333334,1.6434942083333333
45,Southampton,Sheffield United,1,0,1.5168554583333331,0.9723350416666667,1.6006436458333333,1.5697226041666665
46,Man City,Norwich,2,3,3.320101666666667,1.239132333333333,1.3485207291666665,2.419960625
47,Everton,Bournemouth,1,3,1.5353479166666668,1.343961,1.3929765833333334,1.8430212499999998
48,Arsenal,Watford,2,2,1.6113849999999998,1.4803691666666667,1.8258805416666666,2.3558937916666665
49,West Ham,Aston Villa,0,0,1.322387916666667,1.548947875,1.6994616666666669,1.562400625
50,Bournemouth,Southampton,3,1,1.195923375,1.3594602760416667,1.5590643437499998,1.8240150651041667
51,Tottenham,Leicester,1,2,1.1918891927083335,1.5423634536458333,1.48845553125,1.2734467708333335
52,Norwich,Burnley,0,2,1.0284874166666667,1.4752540364583335,2.472904796875,1.0680346979166666
53,Sheffield United,Everton,2,0,0.8729296614583333,1.5651869270833334,1.5875141536458333,1.2434147604166665
54,Watford,Man City,0,8,1.1315310208333333,3.513428958333333,2.1595299427083328,1.1619192630208333
55,Brighton,Newcastle United,0,0,1.2974150729166667,0.5993476666666666,1.8971194322916665,1.5822385781250001
56,Wolves,Crystal Palace,1,1,1.477574609375,1.3190324557291668,1.296175734375,1.6018929010416667
57,Man Utd,West Ham,0,2,1.712383671875,1.4399323020833334,0.8637687942708333,1.7357702083333333
58,Aston Villa,Arsenal,2,3,1.673085015625,1.59542625,1.864175671875,1.5779644739583332
59,Liverpool,Chelsea,2,1,1.999789583333333,2.214314265625,0.8629805239583335,1.0843695677083334
60,Liverpool,Sheffield United,1,0,2.068821625,1.0855718953125,0.8756269715625,1.5254230382812501
61,West Ham,Bournemouth,2,2,1.4455881718750003,1.3255500375000002,1.8691391875000003,1.4823098093749998
62,Southampton,Tottenham,1,2,1.1691102484375,1.1143445734375002,2.0568555585937496,1.418734278125
63,Burnley,Aston Villa,2,2,1.4016579328125,1.4557145140625,1.186908528125,1.8732641046875003
64,Norwich,Crystal Palace,0,2,0.9531080749999999,1.1808913101562502,2.3878153171875,1.6931513109375
65,Brighton,Chelsea,0,2,1.4249975656249998,2.4167778390625,2.0084076890624996,1.0683184109375
66,Watford,Wolves,0,2,1.26736311875,1.5151661484374999,1.5609449484374998,1.2179549609375
67,Man City,Everton,3,1,2.9832730625,1.6070422343750002,1.23383443671875,1.166839584375
68,Newcastle United,Leicester,0,5,0.8558579000000002,1.49454680828125,1.6481497203125,1.1527919937500002
69,Arsenal,Man Utd,1,1,1.381360525,1.8427312046875,1.5367070265625,1.02629791484375
70,Tottenham,Brighton,0,3,1.3505341923177085,1.3925847684895833,1.3445380049479168,1.892128714973958
71,Sheffield United,Watford,0,0,1.1503567373697916,1.1901027755208333,1.4511444517578125,1.7197228694010416
72,Leicester,Liverpool,1,2,1.6973570742578123,1.98312315625,1.2217619942708335,0.8626948072656251
73,Aston Villa,Norwich,5,1,1.5911753045572918,1.0325954854166666,1.7902162626302083,2.2696051240885415
74,Everton,Burnley,0,1,1.44845646484375,1.5218964384114582,1.14825045234375,1.1650703174479167
75,Crystal Palace,West Ham,2,1,1.095385534309896,1.3656499075520836,1.783862118359375,1.9316350885416667
76,Wolves,Man City,2,0,1.5044931360677083,2.782304473958333,1.2211752975260417,1.0201970669921874
77,Chelsea,Southampton,4,1,2.156037519140625,1.3556560610677084,1.1242949600260417,1.9622971787109371
78,Bournemouth,Arsenal,0,1,1.1783966177083334,1.4217313145833335,1.6015281585937502,1.5986661076822917
79,Man Utd,Newcastle United,0,1,1.8596027709635417,0.8555329083333334,1.0368789219401042,1.7873047436197917
80,West Ham,Everton,0,2,1.2529644855840774,1.5232967173549108,1.9040882965029762,1.288546705747768
81,Burnley,Leicester,1,2,1.4856242642392115,2.0205458046679685,1.3425781519159226,0.9696699232514882
82,Norwich,Bournemouth,0,0,0.9327009507440476,1.0808997164434524,2.0387011152250745,1.6433570758370535
83,Brighton,Aston Villa,1,2,1.28496521359747,1.3649484970889136,1.9254733067615324,1.9596208152994792
84,Newcastle United,Chelsea,0,1,0.8649926291666667,2.079372696344866,1.8035755476469493,1.1603696057384671
85,Southampton,Wolves,1,1,1.4462827709914434,1.5760436263485864,1.811356451660156,1.1221454905598958
86,Watford,Tottenham,1,1,1.1285149344122023,1.4298282500093007,1.75005495015811,1.2458645760230656
87,Man City,Crystal Palace,2,0,2.7987691543898805,0.9118800675734748,1.0139078479213168,1.7048968956194197
88,Liverpool,Man Utd,1,1,1.9635972165178572,1.8797365730375741,0.9311399853180804,1.1030374989443825
89,Arsenal,Sheffield United,0,1,1.4284717206845237,1.1718258989862351,1.5824999571335565,1.3243769909179688
90,Leicester,Southampton,9,0,1.9723235668762205,1.4848509728044783,1.0940518030482702,1.7566966109313964
91,Aston Villa,Man City,0,3,1.2125588410208565,2.702963582240513,2.0371820143432617,0.9929527324262346
92,Everton,Brighton,2,3,1.3362182975202288,1.3040349502476283,1.3271360366385325,1.7537105375889368
93,Sheffield United,West Ham,1,1,1.2643122802995954,1.2512937052350726,1.2698044289855956,1.8598411529715402
94,Bournemouth,Watford,0,0,1.0552652341657367,1.1678401885114398,1.650811946097238,1.7785529532732283
95,Chelsea,Burnley,4,2,2.025302527823312,1.3793132477242607,1.168306192879813,1.2834602674211775
96,Wolves,Newcastle United,1,1,1.5702542747017998,0.9112147148437502,1.1068623348999025,1.698396325919015
97,Man Utd,Norwich,3,1,1.9011472872227257,1.0010675788225445,1.0864444677603586,2.038838295523507
98,Tottenham,Liverpool,1,2,1.3638549218837195,2.109894265485491,1.253345415021624,0.8942432362357003
99,Crystal Palace,Arsenal,2,2,0.9082227508501326,1.352548050641741,1.5468957146432059,1.5639893973127093
100,Man Utd,Bournemouth,0,1,1.7727213268214634,1.0608521656009735,1.0563332195514499,1.6595722268696136
101,Newcastle United,West Ham,3,2,0.9761020084635417,1.2254261660553465,1.7645737522568474,1.8510138111397878
102,Burnley,Sheffield United,0,3,1.2314055117395797,1.3116593758385067,1.3561740858977789,1.162814238486396
103,Norwich,Brighton,0,2,0.9913250466657366,1.2869241196783157,1.8124452791055348,1.6829458410562181
104,Southampton,Man City,1,2,1.5136568632042293,2.52039227211604,1.4711773547685412,1.0848645250692217
105,Wolves,Arsenal,1,1,1.5288659261072552,1.3146128256060887,1.1791797607387966,1.5477883196842255
106,Liverpool,Aston Villa,2,1,2.0509206951807415,1.1610303498530312,0.8511282786670502,2.008069124657525
107,Chelsea,Watford,2,1,1.9888030540553503,1.2793406224830264,1.077377793275379,1.7773156225358266
108,Leicester,Crystal Palace,2,0,1.7718624798275415,0.8855918758029031,1.2607433695455885,1.5018219527185832
109,Tottenham,Everton,1,1,1.3712468706679575,1.442747280991327,1.1375824475204228,1.3114380346030585
110,Watford,Norwich,2,0,1.3100935913588754,1.0160310443324496,1.6569416914090351,1.8107510151502582
